Weight,UAE,BAHRAIN/OMAN/KUWAIT,SAUDI,EGYPT/JORDAN/LEBANON/CYPRUS/TURKEY,QATAR,TAIWAN/VIETNAM,SINGAPORE,Malaysia,Thailand,Philippines,Nepal,Bangladesh,Sri Lanka,HONG KONG,CHINA/KOREA SOUTH/INDONESIA,ITALY - PLX/PDX/PPX,GERMANY - PLX/PDX/PPX,FRANCE - PLX/PDX/PPX,Maldives,UK - PPX,UK - GPX,JAPAN,NEW ZEALAND,BULGARIA/CZECH REPUBLIC/HUNGARY/POLAND/ROMANIA/SLOVAKIA,AZERBEJAN/GEORGIA/KAZAKHISTAN,ARMENIA/KYRGYZSTAN/RUSSIA/UKRAINE/UZBEKISTAN/ESTONIA/LITHUINIA,BAHRAIN/KUWAIT - DPX MODE - ABOVE 11KG & 21KG RATE,OMAN - GPX MODE ABOVE 11KG & 21KG RATE,SAUDI ARABIA - GPX MODE - ABOVE 11KG & 21KG,EGYPT/JORDAN/LEBANON - DPX MODE - ABOVE 20KG, 40KGS & 50KGS+,TURKEY - DPX MODE - ABOVE 20KG, 40KGS & 50KGS+,KENYA,NIGERIA/SOUTH AFRICA,ETHIOPIA/GHANA,DJIBOUTI/SUDAN,TANZANIA,MOROCCO/ZIMBABWE/UGANDA,BOTSWANA/MOZAMBIQUE/ZAMBIA,MAURITIUS,MALI/NAMIBIA/BENIN,MADAGASCAR/MALAWI,REUNION ISLAND/SEYCHELLES/LIBYA,SWAZILAND/TUNISIA,ERITREA,IVORY COAST,CAMEROON/TOGO,DEM REP OF THE CONGO/LESOTHO,SIERRA LEONNE,RWANDA,CONGO,GABON/SOMALIA,GUINEA/BURKINA FASO
Dox 500 Gm,1120,1157,1204,1574,1157,1421,614,683,932,1500,325,748,504,622,2042,961,887,1073,1137,1257,640,2013,1998,1910,1465,1373,,,,,,1469,1469,1783,1783,1783,1783,1783,1169,1789,1789,3126,3126,3126,3126,3126,3126,1422,1422,1422,1422,1422
SPX 500 Gm,1242,1243,1307,1597,1208,1421,614,770,1077,2288,458,875,504,622,2042,1019,945,1171,1137,1257,640,3027,1998,1910,1876,2224,,,,,,1500,1500,1885,1885,1885,1885,1885,1169,1789,1789,3126,3126,3126,3126,3126,3126,1422,1422,1422,1422,1422
1,1375,1536,1452,2253,1536,1955,786,1243,1555,3556,467,1104,666,622,2297,1158,1084,1389,1431,1397,781,3598,2448,2555,1930,3139,,,,,,2176,2176,2682,2682,2682,2682,2682,1412,2231,2231,3649,3649,3649,3649,3649,3649,2319,2319,2319,2319,2319
1.5,1554,1894,1655,2916,1894,2195,977,1744,2142,4392,670,1333,827,741,2842,1430,1356,1739,1720,1597,981,4330,2908,3200,2344,3779,,,,,,2852,2852,3460,3460,3460,3460,3460,1654,2714,2714,4173,4173,4173,4173,4173,4173,3174,3174,3174,3174,3174
2,1733,2250,1858,3572,2250,2600,1168,2219,2701,5228,891,1561,991,916,3386,1629,1555,2016,2009,1797,1181,4889,3365,3845,2810,4419,,,,,,3543,3543,4206,4206,4206,4206,4206,1897,3156,3156,4696,4696,4696,4696,4696,4696,4072,4072,4072,4072,4072
2.5,1911,2607,2061,4227,2607,2967,1359,2720,3144,6145,1111,1790,1153,1062,3930,1827,1753,2293,2298,1997,1380,5643,3823,4490,3105,5059,,,,,,4219,4219,4980,4980,4980,4980,4980,2139,3598,3598,5179,5179,5179,5179,5179,5179,4927,4927,4927,4927,4927
3,2558,3358,3051,4898,3358,3556,1478,3194,3701,7026,1332,2019,1314,1237,4593,2025,1951,2570,2839,2196,1580,6098,4384,5135,3588,5699,,,,,,4895,4895,5738,5738,5738,5738,5738,2382,4041,4041,5702,5702,5702,5702,5702,5702,5500,5500,5500,5500,5500
3.5,2702,3706,3236,5538,3706,3815,1754,3696,4288,7908,1552,2248,1511,1383,5036,2297,2261,2957,2958,2396,2396,6735,4857,5780,4071,6339,,,,,,5571,5571,6508,6508,6508,6508,6508,2624,5213,5213,6226,6226,6226,6226,6226,6226,6347,6347,6347,6347,6347
4,2846,4053,3420,6209,4053,4074,2030,4170,4847,8790,1773,2476,1675,1558,5479,2473,2436,3211,3076,2596,2596,7191,5279,6425,4554,6978,,,,,,6246,6246,7282,7282,7282,7282,7282,2855,6384,6384,6749,6749,6749,6749,6749,6749,7154,7154,7154,7154,7154
4.5,2990,4401,3605,6864,4401,4333,2307,4672,5434,9672,1991,2705,1871,1704,5929,2671,2634,3488,3195,2795,2795,7815,5692,7070,4989,7618,,,,,,6922,6922,8063,8063,8063,8063,8063,3098,7556,7556,7232,7232,7232,7232,7232,7232,8002,8002,8002,8002,8002
