WEIGHT,UK,UAE,Croatia,France,Germany,Greece,Ireland,Italy,Netherlands,Poland,Portugal,Spain,AUSTRIA,BELGIUM,BOSNIA,BULGARIA,CZECH REP,DENMARK,ESTONIA,FINLAND,HUNGARY,ICELAND,LATVIA,LICHTENSTEIN,LITHUANIA,LUXEMBOURG,MONACO,ROMANIA,SERBIA,SLOVAK REP,SLOVENIA,SWEDEN
1,975+,500,3750,2475,1450,4700,3275,2725,2175,2725,3275,3275,2175,2175,,4700,2375,2375,3750,3750,2725,4700,3750,2375,3750,2175,2475,4700,,2725,2725,3275
2,1455,850,2050,1375,900,2575,1775,1125,1250,1125,1775,1775,1250,1250,,2575,1350,1350,2050,2050,1125,2575,2050,1350,2050,1250,1375,2575,,1125,1125,1775
3,1925,1190,1525,1050,750,1850,1350,1150,925,1150,1350,1350,925,925,,1850,1025,1025,1525,1525,1150,1850,1525,1025,1525,925,1050,1850,,1150,1150,1350
4,2385,1520,1250,925,675,1525,1175,975,810,975,1175,1175,810,810,,1525,900,900,1250,1250,975,1525,1250,900,1250,810,925,1525,,975,975,1175
5,2835,2880,1075,825,625,1275,975,875,750,875,975,975,750,750,,1275,825,825,1075,1075,875,1275,1075,825,1075,750,825,1275,,875,875,975
6,440,250,875,680,555,1065,815,740,640,740,815,815,627,627,1057,1057,661,661,886,886,733,1057,886,661,661,627,886,1057,1057,733,733,803
7,430,250,870,675,550,1060,810,735,635,735,810,810,622,622,1052,1052,656,656,881,881,728,1052,881,656,656,622,881,1052,1052,728,728,798
8,420,250,775,635,540,910,720,670,595,665,720,720,585,585,898,898,615,615,768,768,656,898,768,615,615,585,768,898,898,656,656,710
9,410,250,770,630,535,905,715,665,590,660,815,715,580,580,893,893,610,610,763,763,651,893,763,610,610,580,763,893,893,651,651,705
10,400,250,765,625,530,900,710,660,555,655,655,655,575,575,888,888,605,605,758,758,646,888,758,605,605,575,758,888,888,646,646,700
11,390,225,695,580,510,780,655,610,550,610,650,650,544,544,769,769,567,567,679,679,641,769,679,567,567,544,679,769,769,641,641,695
12,385,225,690,575,505,775,650,605,545,605,645,645,539,539,764,764,562,562,674,674,597,764,674,562,562,539,674,764,764,597,597,645
13,380,225,685,570,500,770,645,600,540,600,640,640,534,534,759,759,557,557,669,669,592,759,669,557,557,534,669,759,759,592,592,640
14,375,225,680,565,495,765,640,595,535,595,635,635,529,529,754,754,552,552,665,665,587,754,665,552,552,529,665,754,754,587,587,635
15,370,225,675,560,490,760,595,590,530,590,595,630,524,524,749,749,547,547,660,660,582,749,660,547,547,524,660,749,749,582,582,630
16,360,225,635,500,595,690,590,565,525,565,590,595,515,515,679,679,532,532,620,620,555,679,620,532,532,515,620,679,679,555,555,644
17,360,225,630,495,590,685,585,560,520,560,585,590,510,510,674,674,527,527,615,615,550,674,615,527,527,515,615,674,674,550,550,639
18,360,225,625,490,585,680,580,555,515,555,580,585,505,505,669,669,522,522,610,610,545,669,610,522,522,515,610,669,669,545,545,634
19,360,225,620,485,580,675,575,550,510,550,575,580,500,500,664,664,517,517,605,605,540,664,605,517,517,515,605,664,664,540,540,629
20,360,225,590,480,480,640,570,540,510,535,565,565,495,495,659,659,512,512,600,600,535,659,600,512,512,515,600,659,659,535,535,624
21,350,225,585,520,475,635,565,535,505,530,560,560,497,497,627,627,509,509,579,579,527,627,579,509,509,497,579,627,627,527,527,555
22,350,225,580,515,470,630,560,530,500,525,555,555,497,497,627,627,509,509,579,579,527,627,579,509,509,497,579,627,627,527,527,555
23,350,225,575,510,465,625,555,525,495,520,550,550,497,497,627,627,509,509,579,579,527,627,579,509,509,497,579,627,627,527,527,555
24,350,225,570,505,460,620,550,520,490,515,545,545,497,497,627,627,509,509,579,579,527,627,579,509,509,497,579,627,627,527,527,555
25,350,225,565,500,480,603,520,515,485,520,540,540,497,497,627,627,509,509,579,579,527,627,579,509,509,497,579,627,627,527,527,555
26,350,225,570,508,475,598,515,520,495,515,535,535,497,497,591,591,497,497,555,555,509,591,555,497,497,497,555,591,591,509,509,532
27,350,225,565,503,470,593,510,515,490,510,530,530,497,497,591,591,497,497,555,555,509,591,555,497,497,497,555,591,591,509,509,532
28,350,225,560,498,465,588,505,510,485,505,525,525,497,497,591,591,497,497,555,555,509,591,555,497,497,497,555,591,591,509,509,532
29,350,225,555,493,460,583,500,505,480,500,520,520,497,497,591,591,497,497,555,555,509,591,555,497,497,497,555,591,591,509,509,532
30,350,225,550,488,455,578,495,500,475,495,515,515,497,497,591,591,497,497,555,555,509,591,555,497,497,497,555,591,591,509,509,532
