Weight,Zone A,Zone B,Zone C,Zone D,AU & NZ,UK,USA,Zone H,Zone I,Zone J,Zone K,CANADA,Zone M,Zone N,Zone O,Zone P,Zone Q
0.5,1909,2071,2224,2386,2729,2464,2443,2574,2661,2845,2384,2670,2035,3016,3016,3016,3016
1,2148,2179,2368,2474,2791,2659,2769,2669,2756,3056,2636,2854,2258,3204,3204,3204,3204
1.5,2442,2607,2763,2892,3272,3004,3288,3118,3200,3388,2921,3385,2568,3553,3553,3554,3553
2,2736,3034,3159,3309,3753,3348,3633,3568,3643,3721,3207,3741,2878,3903,3903,3903,3903
2.5,3030,3462,3554,3727,4233,3759,4152,4017,4153,4054,3491,4271,3189,4253,4253,4253,4253
3,4029,4258,4444,4447,4822,4577,4952,4556,4738,4894,4361,5040,4147,4939,4939,4939,4939
3.5,4305,4467,4625,4747,5125,4970,5471,4983,5157,5255,4785,5566,4431,5416,5416,5416,5416
4,4550,4646,4776,5017,5398,5295,5817,5380,5509,5587,5178,5918,4684,5863,5863,5863,5863
4.5,4837,4867,4967,5328,5712,5687,6337,5818,5928,5960,5612,6445,4978,6351,6351,6350,6351
5,5083,5046,5119,5597,5985,6012,6683,6215,6279,6292,6005,6797,5231,6798,6798,6797,6798
5.5,6039,8399,7252,8392,7846,6123,6955,8472,8052,8639,11844,7138,6338,11844,11844,11843,11844
6,6296,8780,7581,8727,8174,6396,7227,8711,8485,9096,12403,7420,6609,12403,12403,12402,12403
6.5,6594,9202,7950,9103,8544,6738,7674,8991,8986,9594,13003,7876,6920,13003,13003,13003,13003
7,6851,9583,8279,9439,8872,7011,7947,9231,9419,10051,13562,8157,7191,13562,13562,13562,13562
7.5,7150,10005,8649,9815,9242,7352,8393,9511,9920,10549,14162,8613,7502,14162,14162,14163,14162
8,7407,10386,8978,10151,9570,7626,8666,9750,10353,11006,14721,8896,7772,14721,14721,14722,14721
8.5,7705,10808,9347,10527,9940,7967,9113,10030,10854,11504,15321,9352,8084,15321,15321,15322,15321
9,7962,11189,9676,10862,10268,8241,9385,10269,11287,11961,15880,9633,8354,15880,15880,15882,15880
9.5,8260,11611,10046,11239,10638,8582,9832,10549,11788,12459,16480,10090,8666,16480,16480,16482,16480
10,8517,11992,10375,11574,10966,8856,10105,10788,12221,12916,17039,10371,8936,17039,17039,17042,17039
10.5,8785,12392,10579,11893,11351,9283,11335,11974,12702,13517,17615,11635,9216,17615,17615,17619,17615
11,9018,12753,10801,12173,11691,9605,11687,12361,13118,14034,18150,11996,9461,18151,18151,18155,18150
11.5,9291,13155,11065,12494,12072,9995,12212,12789,13600,14591,18726,12531,9746,18727,18727,18731,18726
12,9523,13516,11288,12774,12413,10317,12564,13176,14016,15107,19261,12892,9990,19263,19263,19268,19261
12.5,9796,13918,11551,13095,12794,10706,13090,13604,14498,15665,19837,13427,10275,19839,19839,19844,19837
13,10028,14279,11774,13375,13134,11029,13441,13991,14914,16181,20372,13788,10519,20375,20375,20380,20372
13.5,10301,14681,12038,13696,13515,11418,13966,14419,15396,16738,20948,14324,10804,20951,20951,20957,20948
14,10533,15042,12260,13976,13856,11741,14318,14806,15812,17255,21483,14685,11048,21487,21487,21493,21483
14.5,10806,15444,12524,14296,14237,12130,14843,15234,16294,17812,22059,15220,11333,22063,22063,22070,22059
15,11039,15806,12746,14577,14577,12453,15195,15621,16710,18328,22594,15581,11577,22599,22599,22606,22594
15.5,11312,16207,13010,14897,14958,12842,15720,16048,17192,18886,23169,16116,11862,23175,23175,23183,23169
16,11544,16569,13233,15177,15299,13164,16072,16435,17607,19402,23705,16477,12107,23710,23710,23719,23705
16.5,11817,16970,13496,15498,15680,13554,16597,16863,18090,19959,24280,17012,12392,24287,24287,24296,24280
17,12049,17332,13719,15778,16020,13876,16949,17250,18505,20476,24816,17374,12636,24822,24822,24832,24816
17.5,12322,17733,13983,16099,16401,14266,17475,17678,18988,21033,25391,17909,12921,25399,25399,25409,25391
18,12554,18095,14205,16379,16742,14588,17826,18065,19403,21550,25927,18270,13165,25934,25934,25945,25927
18.5,12827,18496,14469,16700,17123,14978,18352,18493,19886,22107,26502,18805,13450,26511,26511,26522,26502
19,13059,18858,14692,16980,17463,15300,18703,18880,20301,22623,27038,19166,13694,27046,27046,27058,27038
19.5,13332,19259,14955,17300,17844,15690,19229,19308,20784,23180,27613,19701,13979,27623,27623,27634,27613
20,13565,19621,15178,17580,18185,16012,19580,19695,21199,23697,28148,20062,14224,28158,28158,28171,28148
20.5,13838,20023,15441,17901,18566,16402,20106,20123,21682,24254,28724,20597,14508,28734,28734,28747,28724
21,15104,20351,15749,18330,18963,16439,20726,22127,22079,24777,29495,21173,15829,29505,29505,29521,29495
21.5,15366,20735,16099,18788,19393,16830,21289,22613,22559,25344,30305,21747,16102,30315,30315,30332,30305
22,15587,21078,16409,19206,19782,17154,21678,23059,22973,25870,31074,22147,16335,31083,31083,31102,31074
22.5,15849,21462,16760,19664,20213,17544,22241,23545,23453,26437,31884,22722,16608,31893,31893,31914,31884
23,16070,21805,17069,20082,20602,17868,22630,23991,23867,26963,32653,23121,16840,32661,32661,32684,32653
23.5,16332,22189,17420,20540,21032,18259,23193,24477,24348,27530,33463,23696,17113,33471,33471,33495,33463
24,16553,22532,17730,20958,21422,18582,23582,24923,24761,28056,34232,24096,17346,34239,34239,34266,34232
24.5,16815,22916,18080,21416,21852,18973,24145,25410,25242,28623,35042,24670,17619,35049,35049,35077,35042
25,17036,23259,18390,21834,22241,19296,24534,25855,25655,29149,35811,25070,17851,35817,35817,35848,35811
25.5,17298,23643,18740,22292,22671,19687,25097,26342,26136,29716,36621,25644,18124,36626,36626,36659,36621
26,17519,23986,19050,22709,23061,20010,25486,26787,26549,30242,37390,26044,18357,37395,37395,37429,37390
26.5,17781,24370,19400,23168,23491,20401,26049,27274,27030,30809,38200,26618,18630,38204,38204,38241,38200
27,18002,24713,19710,23585,23880,20725,26438,27720,27443,31335,38969,27018,18862,38973,38973,39011,38969
27.5,18264,25097,20061,24044,24311,21116,27001,28206,27924,31902,39778,27592,19135,39782,39782,39823,39778
28,18485,25440,20370,24461,24700,21439,27390,28652,28337,32428,40548,27992,19368,40551,40551,40593,40548
