Country,1 KG,2 PKG,3 PKG,4 PKG,5 PKG,6 PKG,7 PKG,8 PKG,9 PKG,10 PKG,11 PKG,12 PKG,13 PKG,14 PKG,15 PKG,16 PKG,17 PKG,18 PKG,19 PKG,20 PKG,21 PKG,22 PKG,23 PKG,24 PKG,25 PKG,26 PKG,27 PKG,28 PKG,29 PKG,30 PKG
NETHERLANDS,1624,936,781,693,639,604,578,559,543,531,497,489,482,476,471,467,463,460,456,451,450,447,445,443,441,441,439,438,436,435
AUSTRIA,1624,936,781,693,639,604,578,559,543,531,497,489,482,476,471,467,463,460,456,451,450,447,445,443,441,441,439,438,436,435
BELGIUM,1624,936,781,693,639,604,578,559,543,531,497,489,482,476,471,467,463,460,456,451,450,447,445,443,441,441,439,438,436,435
BULGARIA,4015,2131,1553,1269,1094,985,901,838,789,750,720,693,670,651,634,621,608,596,585,576,570,562,555,548,542,538,533,528,524,520
CROATIA,3083,1665,1243,1036,908,825,764,718,682,654,634,615,598,584,571,562,552,543,536,529,526,521,515,510,506,502,498,494,491,488
Czech,1827,1037,824,722,657,615,584,560,542,528,518,508,499,492,486,482,477,473,469,465,464,461,462,460,457,455,453,451,449,447
DENMARK,1827,1037,824,722,657,615,584,560,542,528,518,508,499,492,486,482,477,473,469,465,464,461,458,456,453,452,450,449,447,445
ESTONIA,3083,1665,1243,1036,908,825,764,718,682,654,634,615,598,584,571,562,552,543,536,529,526,521,515,510,506,502,498,494,491,488
FINLAND,3083,1665,1243,1036,908,825,764,718,682,654,634,615,598,584,571,562,552,543,536,529,526,521,515,510,506,502,498,494,491,488
FRANCE,1890,1069,845,756,688,645,613,588,569,554,523,512,503,496,489,486,481,477,472,464,462,459,456,454,451,450,447,445,444,442
GERMANY,1159,728,635,592,563,547,533,522,514,507,453,448,444,441,438,436,434,432,430,428,430,428,427,426,425,424,423,422,422,421
Greece,4015,2131,1553,1269,1094,985,901,838,789,750,720,693,670,651,634,621,608,596,585,576,570,562,555,548,542,538,533,528,524,520
HUNGARY,2162,1205,936,804,723,671,632,603,580,562,548,535,525,516,508,503,497,491,486,482,480,476,473,470,467,465,463,460,458,456
IRELAND,1804,1026,816,725,660,616,585,561,543,529,517,507,498,491,485,483,478,473,469,466,463,460,457,454,452,450,448,446,445,443
ITALY,1970,1141,915,802,734,689,657,632,614,575,525,515,506,498,492,490,485,480,476,472,469,466,463,460,458,456,454,452,450,449
LATVIA,3083,1665,1243,1036,908,825,764,718,682,654,634,615,598,584,571,562,552,543,536,529,526,521,515,510,506,502,498,494,491,488
LITHUANIA,3083,1665,1243,1036,908,825,764,718,682,654,634,615,598,584,571,562,552,543,536,529,526,521,515,510,506,502,498,494,491,488
Luxembourg,1624,936,756,668,614,579,553,534,518,506,497,489,482,476,471,467,463,460,456,453,452,449,447,445,443,443,441,440,438,437
POLAND,1893,1070,846,734,667,622,590,566,547,532,520,510,501,494,487,482,477,472,468,465,462,459,456,454,451,449,447,446,444,442
PORTUGAL,2069,1158,905,778,702,651,615,588,567,550,536,524,515,506,499,496,490,485,480,476,473,469,466,463,461,458,456,454,452,450
ROMANIA,4015,2131,1553,1269,1094,985,901,838,789,750,720,693,670,651,634,621,608,596,585,576,570,562,555,548,542,538,533,528,524,520
SLOVAKIA,2162,1205,936,804,723,671,632,603,580,562,548,535,525,516,508,503,497,491,486,482,480,476,473,470,467,465,463,460,458,456
SLOVENIA,2162,1205,936,804,723,671,632,603,580,562,548,535,525,516,508,503,497,491,486,482,480,476,473,470,467,465,463,460,458,456
SPAIN,2383,1348,1053,905,817,758,716,684,659,616,567,554,542,533,524,511,504,499,494,490,486,482,479,476,473,471,469,466,464,462
SWEDEN,2631,1439,1092,921,817,750,699,662,632,609,591,575,561,550,540,536,528,520,514,508,504,499,494,490,487,484,481,478,475,473
