Dox,"USA","Canada","Mexico, Puerto Rico","Germany","Belgium, Netherlands, Luxembourg","UK","Denmark, France, Italy, Spain, Switzerland","Austria, Ireland, Portugal, Sweden","Norway, Finland, Greece","Japan,South Korea","Hong Kong, Singapore, Thailand, Malaysia","Australia","New Zealand","ZONE 1","ZONE 2","ZONE 3","ZONE 4","ZONE 6","ZONE 10","ZONE 11","ZONE 12","ZONE 7","ZONE 8","ZONE 9"
0.500,1598,1681,1696,1344,1446,1442,1482,1673,1703,1874,1699,2213,2371,2667,2746,3192,1496,3307,4156,4161,4316,2229,2272,2313
1.000,2136,2214,2234,1603,1722,1716,1765,1992,2026,2309,2169,2347,2560,3119,3250,3819,1770,3834,4792,4830,4973,2569,2617,2664
1.500,2425,2515,2538,1850,1987,1981,2074,2301,2340,2717,2538,2756,3004,3843,3731,4421,2165,4372,5436,5502,5651,2918,2973,3027
2.000,2731,2780,2780,1994,2133,2126,2224,2471,2514,2967,2759,3112,3263,4115,4012,4772,2324,4643,5757,6174,6328,3268,3330,3390
2.500,3291,3349,3349,2239,2385,2399,2488,2764,2813,3353,3107,3587,3691,4581,4484,5364,2599,5150,6365,6844,7005,3618,3685,3752
3.000,3600,3667,3667,2430,2589,2605,2847,2998,3050,3721,3459,3937,4553,5304,4898,5842,3207,5659,6983,7513,7682,3968,4041,4117
3.500,4079,4193,4193,2649,2795,2813,3075,3235,3291,4144,3812,4282,4854,5716,5284,6321,3469,6166,7587,8186,8361,4318,4398,4480
4.000,4506,4550,4592,2842,2999,3045,3295,3470,3531,4570,4162,4625,5242,6130,5673,6799,3732,6673,8197,8856,9036,4666,4754,4841
4.500,4911,4959,5006,3065,3204,3255,3524,3708,3771,4998,4516,4965,5615,6544,6050,7263,3995,7178,8805,9527,9710,5014,5109,5202
5.000,5322,5373,5423,3258,3405,3459,3745,3943,4012,5374,4869,5310,6498,6961,6429,7751,4252,7679,9414,10197,10387,5364,5464,5564
5.500,5629,5683,5736,3430,3587,3647,3948,4154,4226,6557,5180,5811,6913,8863,8362,9335,4511,8130,10786,10789,11007,5685,5791,5898
6.000,5948,6004,6061,3603,3767,3825,4141,4359,4434,7006,5708,6225,7332,9239,8747,9880,4764,8570,11362,11386,11645,6014,6127,6238
6.500,6269,6328,6388,3776,3948,4010,4342,4573,4653,7451,6092,6581,7751,9586,9129,10421,5027,9026,11924,11980,12302,6354,6472,6591
7.000,6583,6647,6709,3950,4130,4197,4543,4776,4859,7904,6601,6939,8166,9932,9520,10963,5283,9474,12489,12574,12963,6694,6820,6944
7.500,6903,6970,7036,4125,4313,4378,4740,4987,5073,8352,6952,7298,8581,10282,9877,11502,5543,9926,13045,13167,13620,7034,7165,7298
