Country,Zone
Bangladesh,1
Nepal,1
Sri Lanka,1
UAE,1
Macau,2
Taiwan,2
Vietnam,2
Bahrain,3
Indonesia,3
Jordan,3
Kuwait,3
Lebanon,3
Norfolk Island,3
Oman,3
Pakistan,3
Philippines,3
Qatar,3
Saudi Arabia,3
Yemen,3
China,3
Andorra,4
Liechtenstein,4
Monaco,4
San Marino,4
Channel Island,6
Guernsey,6
Jersey,6
Algeria,7
Benin,7
Bhutan,7
Botswana,7
Brunei,7
Bulgaria,7
Burkina Faso,7
Burundi,7
Cambodia,7
Central African Republic,7
Chad,7
Cook Island,7
Cyprus,7
Egupt,7
Ethiopia,7
Fiji Island,7
French Guinea,7
French Polynesia,7
Gabon,7
Ghana,7
Gibraltar,7
Guinea Republic,7
Guam,7
Guinea-Bissau,7
Israel,7
Iceland,7
Iraq,7
Kenya,7
Kiribati,7
Laos,7
Lesotho,7
Liberia,7
Madagaskar,7
Malawi,7
Mali,7
Malta,7
Marshal Isl.,7
Mauritania,7
Micronesia,7
Mongolia,7
Morocco,7
Mozambique,7
Myanmar,7
Namibia,7
Nigeria,7
Palau,7
Papua New Guinea,7
Romania,7
Rwanda,7
Senegal,7
Slovakia,7
Soloman Island,7
South Africa,7
Swaziland,7
Tanzania,7
Timor Leste,7
Togo,7
Tonga,7
Tunisia,7
Turkey,7
Tuvalu,7
Uganda,7
Vanuatu,7
Wallis & Futuna Isl.,7
Zambia,7
Zimbabwe,7
Czech Republic,8
Hungary,8
Poland,8
Angulia,9
Antigua & Barbados,9
Barbados,9
Barduba Antigua,9
Belize,9
Bonaire,9
Brazil,9
Cayman Island,9
Chile,9
Colombia,9
Cuba,9
Dominica,9
Dominican Republic,9
Ecuador,9
El Salvador,9
Honduras,9
Monstserrat,9
Nicaragua,9
Peru,9
Ponape,9
Saba,9
St Christofer,9
St Croix,9
St Eustatius,9
St John,9
St Kitts & Nevis,9
St Martin,9
St Marteen,9
St Thomas,9
St Vincent & Grenadi,9
Tahiti,9
Tortola,9
Truk,9
Turks & Caicas Island,9
Venezuela,9
Yap,9
Zaire,9
Albania,10
Angola,10
Armenia,10
Azerbaijan,10
Belarus,10
Bosnia & Herzegovina,10
Cape Verde,10
Comoros,10
Croatia,10
Equatorial Guinea,10
Eritrea,10
Estonia,10
Faroe Islands,10
Georgia,10
Greenland,10
Kazakhstan,10
Kirghizia(Kyrgyzstan),10
Kosovo,10
Latvia,10
Lithuania,10
Macedonia,10
Mayotte,10
Moldova,10
Montenegro,10
Russia,10
Serbia,10
Slovenia,10
Syria,10
Tajikistan,10
Ukraine,10
Uzbekistan,10
New Caledonia,11
Mauritius,11
Maldives,11
Niger,12
Us Virgin Isl,12
St Barthelemy,12
Grenada,12
Guatemala,12
Djibouti,12
Curacao,12
Paraguay,12
Gambia,12
Aruba,12
Guyana,12
Costa Rica,12
Congo,12
Reunion Island,12
American Samoa,12
Martinique,12
Trinidad & Tobago,12
Haiti,12
Bolivia,12
Bermuda,12
Seychelles,12
Uruguay,12
St Lucia,12
Bahamas,12
Guadeloupe,12
Cameroon,12
British Virgin Island,12
Panama,12
Cote D Ivoire,12
Sierra Leone,12
Suriname,12
Jamaica,12
Argentina,12
